lambda	T(lambda)	1/T	baseline					Derivative Y1		T(lambda)	Derivative Y 2
507.7	60.147	0.0166259331304969	0.0166201532253764	5.77990512058355E-6	78				2.44041756943077	60.147	8.31456069412009
507.8	60.16	0.0166223404255319	0.0166197446968096	2.59572872230232E-6	79				2.4399369830642	60.16	-62.443006134001
507.9	60.207	0.016609364359626	0.0166193361682429	-9.97180861690011E-6	80				2.43945658594211	60.207	-102.019852058142
508	60.258	0.0165953068472236	0.0166189276396761	-2.3620792452498E-5	81				2.43897637795276	60.258	-68.7263728813523
508.1	60.273	0.0165911768121713	0.0166185191111093	-2.7342298938058E-5	82				2.43849635898445	60.273	2.09022251818067
508.2	60.256	0.0165958576739246	0.0166181105825426	-2.22529086180041E-5	83				2.43801652892562	60.256	71.9217847457696
508.3	60.204	0.0166101920138197	0.0166177020539758	-7.51004015615495E-6	84				2.43753688766477	60.204	105.307124293769
508.4	60.155	0.0166237220513673	0.0166172935254091	6.42852595822072E-6	85				2.43705743509048	60.155	88.6575330104821
508.5	60.119	0.016633676541526	0.0166168849968423	1.67915446836475E-5	86				2.43657817109145	60.119	28.1644975786901
508.6	60.128	0.0166311868014902	0.0166164764682756	1.47103332145855E-5	87				2.43609909555643	60.128	-60.5533659402592
508.7	60.177	0.0166176446150523	0.0166160679397088	1.57667534344749E-6	88				2.43562020837429	60.177	-122.186126957234
508.8	60.245	0.0165988878745124	0.0166156594111421	-1.67715366296492E-5	89				2.43514150943396	60.245	-121.181458595678
508.9	60.293	0.0165856732954074	0.0166152508825753	-2.95775871678797E-5	90				2.43466299862448	60.293	-54.3368836158216
509	60.297	0.0165845730301673	0.0166148423540085	-3.02693238412102E-5	91				2.43418467583497	60.297	54.3796045198124
509.1	60.241	0.016599990040006	0.0166144182936301	-1.44282536241498E-5	92				2.43370654095463	60.241	130.744604842676
